holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
Вороняк Ігор Мирославович ПП,Личаківський,Левицького К.,19,8,Л-37-16суб,25.10.2016,24.01.2019,186.83
Воскресіння Львівський академічний духовний театр,Галицький,Григоренка Г. ген.   пл.,5,1074.5,6015(Д-16),10.06.2016,09.06.2019,1 грн. в рік
Всякий А. Я.,Франківський,Чупринки Т. ген.,67,167.3,Ф-9413-15,12.02.2015,08.02.2018,42377.37
Вярвельський С.М.,Личаківський,Кармелюка У.,5,34.9,Л-10232-16,21.11.2016,20.11.2019,269.83
Габрієль Мирон Володимирович ФОП,Франківський,Симоненка В.,4,30.7,Ф-9379-15,22.01.2015,21.01.2018,434.45
Гаврилюк Іван Васильович ФОП,Галицький,Галицька,21,6.8,Г-10303-16,30.11.2016,29.11.2019,309.4
Гаврилюк Іван Васильович ФОП,Сихівський,Стрийська,103,6.3,С-10002-16,02.03.2016,01.03.2019,146.83
Гаврих М.В.,Галицький,Людкевича С.,4,24,2186,10.09.1993,  Безтерміновий  ,74.99
Гавриш Володимир Васильович СПДФО,Шевченківський,Грiнченка Б.,5,6.1,Ш-8222-12,10.04.2012,10.04.2017,92.07
Гавриш Володимир Васильович СПДФО,Шевченківський,Джерельна,32,2.8,237/Ш,31.10.2011,30.05.2016,82.62
Гавріна Наталія Іванівна ФО,Залізничний,Вовчка Марка,45,12.8,З-9114-14,29.07.2014,24.07.2017,115.76
Гаврютiн В.П.,Личаківський,Грицая Д. ген.,16,18.9,Л-0841,19.04.2002,19.04.2017,238.1
Гаврюшин Галина Василівна ФОП,Франківський,Бандери С.,91,16,Ф-9592-15,06.06.2015,05.06.2018,396.89
Гадяцький О. В.,Личаківський,Некрасова М.,41,11.5,Л-1455,14.04.2003,26.11.2017,268.51
ГАЗДА,Франківський,Чупринки Т. ген.,61,225.7,Ф-8936-14,05.02.2014,04.02.2017,1759.11
Гай С.С.,Галицький,Руставелi Ш.,36,26.1,Г-0046,28.02.2001,28.02.2019,49.91
Гайдай Тетяна Миколаївна ФОП,Галицький,Кольберга О.,6,37.7,Г-9417-15,16.02.2015,15.02.2018,1708.56
ГАЛ ТОР  ПРИВАТНЕ МАЛЕ ПІДПРИЄМСТВО,Шевченківський,Лобачевського М.,23,108.2,4244,13.10.1993,13.10.2019,910.66
ГАЛ ТОР  ПРИВАТНЕ МАЛЕ ПІДПРИЄМСТВО,Шевченківський,Лобачевського М.,23,179.8,4506,18.10.1999,24.10.2016,4033.97
Галай Ю. С.,Галицький,Кулiша П.,31,6.4,Г-9078-14,02.07.2014,01.07.2017,41.2
Галвомсервіс Науково-виробнича комерційна фірма Тз,Залізничний,Чернiвецька,4,155.5,З-9941-15,29.12.2015,28.12.2018,672.53
Галеон  ДЮСШ,Галицький,Руська,20,194.3,Г-9127-14,12.08.2014,11.08.2017,42.74
Галеон  ДЮСШ,Галицький,Руська,20,86.1,Г-9632-15(Д-15),19.11.2015,15.06.2018,11.86
Галеон  ДЮСШ,Галицький,Самчука У.,5,99.6,Г-8707-13,23.07.2013,19.07.2019,246.49
Галерея мистецтв ім. Б.Г. Возницького,Галицький,Коперника М.,15,3271.8,Г-10202-16,18.11.2016,13.11.2019,1 грн. за кв. м. в рік
Галерея мистецтв ім. Б.Г. Возницького,Личаківський,Личакiвська, 2а,667.1,Л-10201-16,18.11.2016,13.11.2019,1 грн. за кв. м. в рік
Галерея мистецтв ім. Б.Г. Возницького,Галицький,Мартовича Л.,5,76.7,Г-9981-16,19.02.2016,19.02.2041,1 грн. за кв. м. в рік
Галерея мистецтв ім. Б.Г. Возницького,Галицький,Ужгородська,1,94.5,Г-10200-16,18.11.2016,13.11.2019,1 грн. за кв. м. в рік
Галерея- Центр ТзОВ,Галицький,Джерельна,32,35.1,Г-8375-12,26.07.2012,30.04.2017,4937.26
Галицька торгова мережа ПП,Залізничний,Братiв Мiхновських,36,46,3299(Д-10),01.08.2010,20.06.2022,175.43
Галицька торгова мережа ПП,Франківський,Василькiвського С.,9,88.7,7177(Д-10),01.08.2010,20.06.2022,522.73
Галицька торгова мережа ПП,Залізничний,Городоцька,259,44,3297(Д-10),01.08.2010,20.06.2022,179.88
Галицька торгова мережа ПП,Залізничний,Залiзнична,2,63.9,3303(Д-10),01.08.2010,20.06.2022,372.6
Галицька торгова мережа ПП,Галицький,Кропивницького М. пл,1,94.1,3304(Д-10),01.08.2010,20.06.2022,780.53
Галицька торгова мережа ПП,Франківський,Кульпаркiвська,1,70.5,7175(Д-10),01.08.2010,20.06.2022,238.69
Галицька торгова мережа ПП,Залізничний,Любiнська,102,263.4,3380(Д-10),01.08.2010,20.06.2022,1790.72
Галицька торгова мережа ПП,Франківський,Федьковича Ю.,8,47.4,7174(Д-10),01.08.2010,20.06.2022,643.63
Галицька торгова мережа ПП,Шевченківський,Шевченка Т.,366,136.5,3302(Д-10),01.08.2010,20.06.2022,617.83
Галицька торгова мережа ПП,Шевченківський,Шевченка Т.,406,114.6,3300(Д-10),01.08.2010,20.06.2022,528.88
Галицька торгова мережа ПП,Залізничний,Ярослава Мудрого,15,33.6,3301(Д-10),01.08.2010,20.06.2022,180.06
ГАЛИЦЬКИЙ БЕСКИД фірма,Шевченківський,Лобачевського М.,13,32.5,2066,15.04.1997,04.03.2017,77.16
Галицький вiддiл соцiального захисту УПСДГП ЛМР,Галицький,Лiста Ф.,5,571.4,Г-6109-8,03.04.2008,03.04.2018,1 грн. в рік
Галицький районний відділ Львівського міського упр,Галицький,Зернова,1,25.1,Г-7313-9,23.10.2009,22.10.2015,1 грн. за кв. м. в рік
Галицький районний відділ Львівського міського упр,Галицький,Мартовича Л.,2,1324.8,Г-8045-11,30.11.2011,30.11.2021,Безоплатне використ.
Галицький районний відділ Львівського міського упр,Галицький,Свободи просп.,39,63,Г-7315-9,29.12.2009,22.10.2015,1 грн. за кв. м. в рік
Галицький районний відділ Львівського міського упр,Галицький,Федорова I.,20,52.2,Г-5204-7,19.04.2007,18.04.2010,Безоплатне використ.
ГАЛИЧ ГО інвалідів у Львівській області,Франківський,Володимира Великого,63,35.5,Ф-10337-16,20.12.2016,19.12.2019,169.57
ГАЛИЧАНКА,Шевченківський,Мазепи I. гетьмана,11,215.7,Ш-8582-13,06.03.2013,06.03.2018,6009.8
ГАЛИЧАНКА госпрозрахункова туристична фірма,Личаківський,Лисенка М.,23,121.8,5145,04.05.1994,  Безтерміновий  ,468.02
ГАЛИЧАНКА-1,Шевченківський,Шевченка Т.,4,99.4,Ш-8486-12,15.11.2012,15.11.2017,5208.67
Галичина реабілітаційно-спортивний клуб інвалідів,Личаківський,Харкiвська,6,103.6,Л-10318-16,07.12.2016,06.12.2019,1061.96
Галі-Лео ТзОВ,Шевченківський,Кушевича С.,1,46.5,Ш-10378-16,26.12.2016,26.12.2017,528.78
ГАЛ-ЛАСТІВКА,Личаківський,Китайська,2,376.4,Л-9135-14,15.08.2014,14.08.2017,24126.35
Галнафтохім  ПАТ,Галицький,Сiчинського Д.,2,3757.3,Г-9348-15,06.01.2015,05.01.2018,42774.93
Галнафтохім  ПАТ,Галицький,Сiчинського Д.,6,3449.3,Г-9570-15,08.05.2015,08.05.2017,42233.02
Галнафтохім  ПАТ,Галицький,Сiчинського Д.,6,172.8,Г-9827-15,25.09.2015,24.09.2018,4151.74
ГАЛТЕХБІЗНЕСРЕСУРС ПП,Франківський,Єфремова С. акад.,37,374.1,Ф-4849-6(Д-10),05.02.2010,28.03.2017,12990.54
Гальчишак Оксана Григорiвна ФОП,Залізничний,Величковського I., 14а,56.2,З-10342-16,22.12.2016,21.12.2019,233.68
"Гап""як Степан Йосипович ФОП",Залізничний,Сяйво,17,6.8,З-9449-15,02.03.2015,27.02.2025,141.25
ГАРАЙ,Франківський,Федьковича Ю.,22,17.2,Ф-9280-14,11.12.2014,10.12.2017,1067.08
Гарапко С. В.,Франківський,Коновальця Є.,45,17,7490,12.01.1998,12.11.2018,118.71
Гарбуз Р. С.,Залізничний,Хотинська,9,31.6,Г-10210-16,15.11.2016,14.11.2019,185.19
Гарпаш П.В.,Шевченківський,Золота,37,45.3,Ш-8590-13,14.03.2013,12.03.2023,484.58
Гацик Ірина Борисівна ФОП,Сихівський,Трильовського К.,22,5.3,С-9100-14,16.07.2014,15.07.2017,106.99
Гембара Гнат Григорович ФОП,Сихівський,Кавалерiдзе I.,1,2.9,С-9268-14,11.12.2014,10.12.2017,326.52
Герасим В. Й.,Франківський,Старицького М.,4,53.4,Ф-9503-15,17.03.2015,16.03.2018,665
Геращенко С. Б.,Франківський,Єфремова С. акад.,38,14,Ф-9618-15,05.06.2015,02.06.2018,205.42
Герман Г. М.,Франківський,Конотопська,4,11.6,Ф-6081-8,17.03.2008,12.03.2017,1177.39
Гирило О.М.,Залізничний,Хотинська,9,24.8,З-2514-5,27.01.2005,12.01.2017,138.03
Гімназія Блаженного Климентія Шептицького приватни,Сихівський,Хоткевича Г.,16,2511,С-7432-10,25.01.2010,01.01.2024,1 грн. в рік освіта
Гірак Оксана Михайлівна СПДФО,Личаківський,Мечникова I.,8,13.9,Л-9401-15,29.01.2015,28.01.2018,169.38
Гладяк Р. Б.,Франківський,Копистинського Т.,16,26,Ф-9025-14,20.05.2014,14.05.2017,260.93
Глинський Р.В.,Франківський,Коновальця Є.,10,42.2,Ф-8460-12,03.12.2012,19.10.2017,411.18
Гнатисько О. Б.,Шевченківський,Татарбунарська,22,116.2,Ш-9597-15,22.05.2015,18.04.2018,6299.66
Головне територіальне управління юстиції у Львів.о,Галицький,Бандери С.,3,61.7,Г-8049-11,02.01.2012,05.12.2016,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Залізничний,Городоцька,299,721,З-8050-11,02.01.2012,05.12.2021,1 грн. в рік
Головне територіальне управління юстиції у Львів.о,Залізничний,Городоцька,299,137.6,З-9058-14(Д-16),28.12.2016,18.06.2024,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Залізничний,Городоцька,299,290.3,З-8977-14,21.03.2014,21.03.2024,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Галицький,Грушевського М.,16,133.8,Г-10390-16,28.12.2016,28.12.2021,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Личаківський,Зелена,2,75.8,Л-9300-14,09.11.2015,19.12.2024,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Личаківський,Зелена,77,125.4,Л-9980-16,19.02.2016,19.02.2036,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Франківський,Конотопська,6,150.8,Ф-4435-6(Д-9),14.12.2009,16.06.2011,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Франківський,Конотопська,8,107.9,Ф-8916-13,11.11.2015,27.12.2023,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Галицький,Котлярська,6,196.5,Г-9201-14,10.11.2015,09.10.2034,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Галицький,Котлярська,6,91.4,Г-7372-9,09.12.2009,09.12.2014,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Франківський,Новий Свiт,22,114.7,Ф-8915-13,27.12.2013,26.12.2023,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Галицький,Саксаганського П.,6,235.5,Г-9200-14,10.11.2015,09.10.2034,1 грн. за кв. м. в рік
Головне територіальне управління юстиції у Львів.о,Франківський,Франка I.,157,2002,Ф-8514-12,24.12.2012,24.12.2032,1 грн. за кв. м. в рік
